user_id,signup_date,last_login_date,logins,avg_session_time_mins,feature_usage_count,upgraded,upgrade_date,churn_flag,days_to_upgrade,signup_month,churn_month,user_segment,cluster
user_107,2023-09-18,2023-10-26,12,14.11,6,1,2023-12-23,0,96.0,2023-09-01,2023-10-01,Regular User,1
user_108,2023-08-19,2024-01-21,12,17.28,8,1,2023-12-08,0,111.0,2023-08-01,2024-01-01,Regular User,1
user_109,2023-02-10,2023-07-17,11,21.8,8,1,2023-04-17,0,66.0,2023-02-01,2023-07-01,Regular User,1
user_110,2023-01-28,2023-03-05,4,14.5,5,1,2023-03-19,0,50.0,2023-01-01,2023-03-01,Inactive,0
user_111,2023-05-15,2023-09-10,5,8.22,3,0,,1,,2023-05-01,2023-09-01,Churned,0
user_112,2023-07-20,2023-09-24,11,5.23,4,1,2023-09-29,0,71.0,2023-07-01,2023-09-01,Regular User,1
user_113,2023-11-24,2024-01-05,6,8.54,1,0,,0,,2023-11-01,2024-01-01,Regular User,0
user_114,2023-09-25,2023-11-15,10,8.38,3,0,,0,,2023-09-01,2023-11-01,Regular User,0
user_115,2023-02-02,2023-05-13,7,18.34,5,1,2023-04-27,0,84.0,2023-02-01,2023-05-01,Regular User,1
user_116,2023-02-17,2023-04-13,8,14.76,1,0,,1,,2023-02-01,2023-04-01,Churned,0
user_117,2023-03-03,2023-05-17,7,15.37,4,0,,1,,2023-03-01,2023-05-01,Churned,0
user_118,2023-08-04,2023-10-10,8,18.61,4,0,,0,,2023-08-01,2023-10-01,Regular User,0
user_119,2023-10-20,2024-03-04,8,21.81,5,0,,0,,2023-10-01,2024-03-01,Regular User,0
user_120,2023-04-09,2023-07-23,9,14.03,9,1,2023-05-15,0,36.0,2023-04-01,2023-07-01,Regular User,3
user_121,2023-06-21,2023-10-23,9,18.71,6,1,2023-07-25,0,34.0,2023-06-01,2023-10-01,Regular User,3
user_122,2023-12-26,2024-03-26,14,16.76,8,1,2024-04-13,0,109.0,2023-12-01,2024-03-01,Regular User,1
user_123,2023-08-02,2023-08-24,14,7.21,6,0,,1,,2023-08-01,2023-08-01,Churned,2
user_124,2023-02-04,2023-05-23,6,7.58,9,1,2023-05-12,0,97.0,2023-02-01,2023-05-01,Regular User,1
user_125,2023-08-15,2023-10-14,10,13.3,4,1,2023-12-04,0,111.0,2023-08-01,2023-10-01,Regular User,1
user_126,2023-04-11,2023-09-25,10,15.98,8,0,,1,,2023-04-01,2023-09-01,Churned,3
user_127,2023-05-11,2023-06-23,11,17.4,5,1,2023-05-26,0,15.0,2023-05-01,2023-06-01,Regular User,2
user_128,2023-09-14,2024-02-12,9,14.01,2,0,,0,,2023-09-01,2024-02-01,Regular User,0
user_129,2023-01-05,2023-07-02,12,6.52,5,1,2023-02-12,0,38.0,2023-01-01,2023-07-01,Regular User,2
user_130,2023-08-06,2024-01-13,10,13.16,11,1,2023-09-23,0,48.0,2023-08-01,2024-01-01,Regular User,3
user_131,2023-09-12,2023-09-27,12,5.81,8,0,,1,,2023-09-01,2023-09-01,Churned,3
user_132,2023-12-25,2024-01-15,13,13.98,8,1,2024-02-03,0,40.0,2023-12-01,2024-01-01,Regular User,3
user_133,2023-10-10,2023-12-05,9,17.8,6,1,2023-12-23,0,74.0,2023-10-01,2023-12-01,Regular User,1
user_134,2023-07-26,2023-09-25,11,17.14,3,0,,1,,2023-07-01,2023-09-01,Churned,2
user_135,2023-01-15,2023-05-01,12,12.49,1,1,2023-02-08,0,24.0,2023-01-01,2023-05-01,Regular User,2
user_136,2023-12-12,2024-02-20,7,17.02,6,0,,0,,2023-12-01,2024-02-01,Regular User,0
user_137,2023-02-11,2023-05-11,9,9.4,6,1,2023-03-29,0,46.0,2023-02-01,2023-05-01,Regular User,3
user_138,2023-06-28,2023-09-07,7,11.79,7,1,2023-08-31,0,64.0,2023-06-01,2023-09-01,Regular User,3
user_139,2023-03-04,2023-05-12,8,6.72,4,0,,1,,2023-03-01,2023-05-01,Churned,0
user_140,2023-12-18,2024-01-16,17,12.34,8,1,2024-02-10,0,54.0,2023-12-01,2024-01-01,Regular User,2
user_141,2023-08-19,2023-11-29,8,11.12,9,1,2023-09-10,0,22.0,2023-08-01,2023-11-01,Regular User,3
user_142,2023-08-29,2024-01-26,3,12.96,5,0,,0,,2023-08-01,2024-01-01,Inactive,0
user_143,2023-02-21,2023-03-24,18,13.64,5,0,,1,,2023-02-01,2023-03-01,Churned,2
user_144,2023-04-06,2023-06-30,14,16.25,8,1,2023-06-21,0,76.0,2023-04-01,2023-06-01,Regular User,1
user_145,2023-08-10,2023-10-05,4,5.18,2,0,,0,,2023-08-01,2023-10-01,Inactive,0
user_146,2023-08-19,2023-12-05,14,10.7,5,1,2023-10-17,0,59.0,2023-08-01,2023-12-01,Regular User,2
user_147,2023-08-25,2023-09-02,16,19.89,5,1,2023-12-03,0,100.0,2023-08-01,2023-09-01,Regular User,1
user_148,2023-05-23,2023-06-22,12,19.98,3,0,,1,,2023-05-01,2023-06-01,Churned,2
user_149,2023-06-20,2023-08-29,9,15.28,5,0,,1,,2023-06-01,2023-08-01,Churned,0
user_150,2023-01-29,2023-06-14,9,15.39,4,0,,1,,2023-01-01,2023-06-01,Churned,0
user_151,2023-02-05,2023-02-17,11,9.36,7,1,2023-04-27,0,81.0,2023-02-01,2023-02-01,Regular User,1
user_152,2023-01-13,2023-05-23,12,13.13,4,1,2023-05-02,0,109.0,2023-01-01,2023-05-01,Regular User,1
user_153,2023-06-09,2023-07-13,9,19.11,5,0,,1,,2023-06-01,2023-07-01,Churned,0
user_154,2023-11-23,2023-12-13,11,8.78,2,0,,0,,2023-11-01,2023-12-01,Regular User,2
user_155,2023-07-06,2023-09-07,11,15.72,3,1,2023-07-15,0,9.0,2023-07-01,2023-09-01,Regular User,2
user_156,2023-08-31,2023-12-03,7,17.78,5,1,2023-11-09,0,70.0,2023-08-01,2023-12-01,Regular User,1
user_157,2023-03-27,2023-09-22,11,15.24,7,1,2023-05-17,0,51.0,2023-03-01,2023-09-01,Regular User,3
user_158,2023-10-11,2023-11-13,10,14.26,6,0,,0,,2023-10-01,2023-11-01,Regular User,3
user_159,2023-03-07,2023-07-05,8,14.2,6,1,2023-05-08,0,62.0,2023-03-01,2023-07-01,Regular User,1
user_160,2023-06-19,2023-11-28,6,17.5,4,0,,0,,2023-06-01,2023-11-01,Regular User,0
user_161,2023-02-14,2023-02-28,11,15.97,8,0,,1,,2023-02-01,2023-02-01,Churned,3
user_162,2023-03-03,2023-06-30,10,17.47,3,1,2023-06-18,0,107.0,2023-03-01,2023-06-01,Regular User,1
user_163,2023-05-14,2023-08-17,9,13.17,6,1,2023-07-25,0,72.0,2023-05-01,2023-08-01,Regular User,1
user_164,2023-10-11,2023-10-16,11,13.4,4,1,2023-10-24,0,13.0,2023-10-01,2023-10-01,Regular User,2
user_165,2023-01-28,2023-05-16,7,17.74,5,0,,1,,2023-01-01,2023-05-01,Churned,0
user_166,2023-04-18,2023-07-23,12,10.54,3,0,,1,,2023-04-01,2023-07-01,Churned,2
user_167,2023-02-13,2023-03-16,9,9.36,7,1,2023-06-07,0,114.0,2023-02-01,2023-03-01,Regular User,1
user_168,2023-12-06,2024-06-02,12,26.36,7,1,2024-01-27,0,52.0,2023-12-01,2024-06-01,Regular User,1
user_169,2023-10-13,2024-01-03,9,17.11,10,0,,0,,2023-10-01,2024-01-01,Regular User,3
user_170,2023-11-27,2024-04-30,6,13.77,9,0,,0,,2023-11-01,2024-04-01,Regular User,3
user_171,2023-05-08,2023-09-02,6,11.53,4,0,,1,,2023-05-01,2023-09-01,Churned,0
user_172,2023-12-14,2024-03-01,7,10.41,4,0,,0,,2023-12-01,2024-03-01,Regular User,0
user_173,2023-08-19,2023-11-04,14,14.76,10,0,,0,,2023-08-01,2023-11-01,Regular User,3
user_174,2023-07-09,2023-12-02,9,14.52,6,1,2023-09-14,0,67.0,2023-07-01,2023-12-01,Regular User,1
user_175,2023-08-13,2023-11-27,6,17.19,4,0,,0,,2023-08-01,2023-11-01,Regular User,0
user_176,2023-10-10,2024-02-12,14,8.5,8,0,,0,,2023-10-01,2024-02-01,Regular User,3
user_177,2023-05-01,2023-05-15,11,8.71,4,0,,1,,2023-05-01,2023-05-01,Churned,2
user_178,2023-04-26,2023-09-06,5,16.3,9,1,2023-05-10,0,14.0,2023-04-01,2023-09-01,Regular User,3
user_179,2023-08-21,2023-11-01,7,16.93,2,1,2023-11-30,0,101.0,2023-08-01,2023-11-01,Regular User,1
user_180,2023-09-16,2023-12-25,8,19.52,7,1,2023-11-26,0,71.0,2023-09-01,2023-12-01,Regular User,1
user_181,2023-12-25,2024-03-31,9,23.31,2,0,,0,,2023-12-01,2024-03-01,Regular User,0
user_182,2023-07-17,2023-12-29,11,13.65,8,1,2023-10-06,0,81.0,2023-07-01,2023-12-01,Regular User,1
user_183,2023-05-17,2023-06-11,14,18.35,8,1,2023-09-02,0,108.0,2023-05-01,2023-06-01,Regular User,1
user_184,2023-11-14,2024-02-13,8,9.8,2,0,,0,,2023-11-01,2024-02-01,Regular User,0
user_185,2023-06-14,2023-10-16,21,2.07,5,1,2023-08-20,0,67.0,2023-06-01,2023-10-01,Regular User,2
user_186,2023-08-13,2024-02-07,15,10.1,6,1,2023-10-19,0,67.0,2023-08-01,2024-02-01,Regular User,1
user_187,2023-11-03,2024-01-14,11,12.6,4,1,2023-11-14,0,11.0,2023-11-01,2024-01-01,Regular User,2
user_188,2023-08-22,2023-12-22,6,25.75,5,1,2023-09-28,0,37.0,2023-08-01,2023-12-01,Regular User,0
user_189,2023-06-21,2023-08-12,8,6.68,4,0,,1,,2023-06-01,2023-08-01,Churned,0
user_190,2023-06-01,2023-08-17,14,18.71,1,1,2023-08-29,0,89.0,2023-06-01,2023-08-01,Regular User,1
user_191,2023-11-11,2024-02-10,11,12.04,2,0,,0,,2023-11-01,2024-02-01,Regular User,2
user_192,2023-06-09,2023-09-04,7,17.49,3,0,,1,,2023-06-01,2023-09-01,Churned,0
user_193,2023-04-06,2023-04-18,11,15.21,6,1,2023-06-12,0,67.0,2023-04-01,2023-04-01,Regular User,1
user_194,2023-08-21,2023-10-02,10,10.43,4,0,,1,,2023-08-01,2023-10-01,Churned,0
user_195,2023-06-29,2023-09-12,14,20.12,6,1,2023-10-25,0,118.0,2023-06-01,2023-09-01,Regular User,1
user_196,2023-04-23,2023-06-12,7,17.24,10,0,,1,,2023-04-01,2023-06-01,Churned,3
user_197,2023-11-14,2023-12-02,9,14.93,6,0,,0,,2023-11-01,2023-12-01,Regular User,3
user_198,2023-02-21,2023-07-19,17,16.47,7,1,2023-04-16,0,54.0,2023-02-01,2023-07-01,Regular User,2
user_199,2023-09-25,2024-01-24,10,12.88,7,1,2024-01-07,0,104.0,2023-09-01,2024-01-01,Regular User,1
user_200,2023-10-22,2023-11-14,9,5.34,10,0,,0,,2023-10-01,2023-11-01,Regular User,3
user_201,2023-04-23,2023-05-18,17,15.56,6,0,,1,,2023-04-01,2023-05-01,Churned,2
user_202,2023-04-11,2023-09-30,12,26.13,6,0,,1,,2023-04-01,2023-09-01,Churned,2
user_203,2023-04-23,2023-09-25,10,19.23,7,0,,1,,2023-04-01,2023-09-01,Churned,3
user_204,2023-03-22,2023-07-19,8,16.47,5,0,,1,,2023-03-01,2023-07-01,Churned,0
user_205,2023-07-06,2023-09-25,9,16.93,10,0,,1,,2023-07-01,2023-09-01,Churned,3
user_206,2023-04-23,2023-07-31,14,14.99,5,0,,1,,2023-04-01,2023-07-01,Churned,2
user_207,2023-01-02,2023-06-07,14,3.8,6,0,,1,,2023-01-01,2023-06-01,Churned,2
user_208,2023-05-10,2023-05-26,11,9.74,2,1,2023-05-27,0,17.0,2023-05-01,2023-05-01,Regular User,2
user_209,2023-08-08,2023-10-14,14,14.68,7,1,2023-08-25,0,17.0,2023-08-01,2023-10-01,Regular User,2
user_210,2023-02-23,2023-04-07,10,19.62,5,1,2023-06-17,0,114.0,2023-02-01,2023-04-01,Regular User,1
user_211,2023-12-09,2024-02-07,5,24.15,6,0,,0,,2023-12-01,2024-02-01,Regular User,0
user_212,2023-08-12,2023-12-12,8,9.62,3,0,,0,,2023-08-01,2023-12-01,Regular User,0
user_213,2023-08-13,2023-11-13,16,18.28,5,1,2023-11-28,0,107.0,2023-08-01,2023-11-01,Regular User,1
user_214,2023-05-06,2023-07-18,6,3.85,5,0,,1,,2023-05-01,2023-07-01,Churned,0
user_215,2023-05-10,2023-10-09,11,13.34,12,1,2023-05-24,0,14.0,2023-05-01,2023-10-01,Regular User,3
user_216,2023-02-22,2023-04-29,8,14.86,8,1,2023-05-29,0,96.0,2023-02-01,2023-04-01,Regular User,1
user_217,2023-06-21,2023-10-09,15,23.43,5,1,2023-07-03,0,12.0,2023-06-01,2023-10-01,Regular User,2
user_218,2023-08-06,2023-08-07,11,10.92,1,1,2023-09-13,0,38.0,2023-08-01,2023-08-01,Regular User,2
user_219,2023-06-09,2023-09-05,9,13.26,4,0,,1,,2023-06-01,2023-09-01,Churned,0
user_220,2023-07-17,2024-01-09,12,19.96,6,0,,0,,2023-07-01,2024-01-01,Regular User,2
user_221,2023-09-04,2023-09-29,7,11.33,5,1,2023-11-02,0,59.0,2023-09-01,2023-09-01,Regular User,1
user_222,2023-11-20,2024-02-26,11,12.35,7,1,2024-03-11,0,112.0,2023-11-01,2024-02-01,Regular User,1
user_223,2023-07-22,2023-08-17,10,7.79,2,1,2023-09-23,0,63.0,2023-07-01,2023-08-01,Regular User,1
user_224,2023-07-03,2023-09-29,13,18.12,8,1,2023-08-07,0,35.0,2023-07-01,2023-09-01,Regular User,3
user_225,2023-05-03,2023-09-25,9,7.84,6,1,2023-07-31,0,89.0,2023-05-01,2023-09-01,Regular User,1
user_226,2023-09-12,2023-09-12,8,20.26,3,0,,1,,2023-09-01,2023-09-01,Churned,0
user_227,2023-10-21,2024-01-31,6,8.76,3,0,,0,,2023-10-01,2024-01-01,Regular User,0
user_228,2023-10-07,2024-02-14,10,11.21,5,1,2023-12-08,0,62.0,2023-10-01,2024-02-01,Regular User,1
user_229,2023-11-21,2023-12-31,11,9.14,4,0,,0,,2023-11-01,2023-12-01,Regular User,2
user_230,2023-04-08,2023-09-19,8,13.59,5,1,2023-07-03,0,86.0,2023-04-01,2023-09-01,Regular User,1
user_231,2023-07-17,2023-09-05,10,20.38,3,0,,1,,2023-07-01,2023-09-01,Churned,0
user_232,2023-08-28,2023-09-11,5,11.51,5,1,2023-12-20,0,114.0,2023-08-01,2023-09-01,Regular User,1
user_233,2023-05-24,2023-05-31,8,10.1,3,0,,1,,2023-05-01,2023-05-01,Churned,0
user_234,2023-04-07,2023-05-14,16,14.91,6,1,2023-07-10,0,94.0,2023-04-01,2023-05-01,Regular User,1
user_235,2023-07-20,2023-11-10,14,14.67,4,1,2023-10-27,0,99.0,2023-07-01,2023-11-01,Regular User,1
user_236,2023-05-04,2023-07-25,9,18.39,2,0,,1,,2023-05-01,2023-07-01,Churned,0
user_237,2023-07-06,2023-08-30,14,8.42,4,1,2023-09-14,0,70.0,2023-07-01,2023-08-01,Regular User,1
user_238,2023-11-22,2024-05-14,6,16.19,7,1,2024-03-11,0,110.0,2023-11-01,2024-05-01,Regular User,1
user_239,2023-12-15,2024-03-26,13,21.2,9,1,2024-02-23,0,70.0,2023-12-01,2024-03-01,Regular User,1
user_240,2023-09-16,2024-01-31,10,9.93,7,1,2023-10-11,0,25.0,2023-09-01,2024-01-01,Regular User,3
